지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
904,사상,2023-03-01 01:00,9.2,184.3,1.4,0.0,80.0
904,사상,2023-03-01 02:00,9.5,212.4,2.8,0.0,78.0
904,사상,2023-03-01 03:00,9.0,196.8,2.7,0.0,81.0
904,사상,2023-03-01 04:00,9.1,0.0,0.4,0.0,78.0
904,사상,2023-03-01 05:00,8.9,0.0,0.1,0.0,81.0
904,사상,2023-03-01 06:00,7.4,340.0,0.9,0.0,84.0
904,사상,2023-03-01 07:00,7.7,0.0,0.2,0.0,88.0
904,사상,2023-03-01 08:00,7.6,350.4,1.6,0.0,89.0
904,사상,2023-03-01 09:00,8.5,315.8,0.6,0.0,87.0
904,사상,2023-03-01 10:00,9.2,322.2,0.7,0.0,84.0
904,사상,2023-03-01 11:00,9.8,24.0,1.0,0.0,83.0
904,사상,2023-03-01 12:00,10.8,211.6,3.6,0.0,82.0
904,사상,2023-03-01 13:00,11.4,212.7,3.4,0.0,79.0
904,사상,2023-03-01 14:00,11.8,215.7,2.7,0.0,73.0
904,사상,2023-03-01 15:00,12.4,239.5,3.8,0.0,69.0
904,사상,2023-03-01 16:00,12.1,237.4,5.0,0.0,69.0
904,사상,2023-03-01 17:00,12.2,226.6,4.4,0.0,68.0
904,사상,2023-03-01 18:00,11.8,236.9,4.2,0.0,69.0
904,사상,2023-03-01 19:00,10.2,247.4,1.9,0.0,70.0
904,사상,2023-03-01 20:00,10.3,326.5,3.2,0.0,48.0
904,사상,2023-03-01 21:00,9.1,314.7,4.0,0.0,51.0
904,사상,2023-03-01 22:00,8.1,317.4,5.0,0.0,44.0
904,사상,2023-03-01 23:00,6.8,313.9,4.1,0.0,38.0
904,사상,2023-03-02 00:00,5.6,298.1,3.5,0.0,33.0
904,사상,2023-03-02 01:00,5.5,319.6,4.7,0.0,30.0
904,사상,2023-03-02 02:00,3.3,328.1,1.7,0.0,39.0
904,사상,2023-03-02 03:00,2.3,331.7,2.5,0.0,45.0
904,사상,2023-03-02 04:00,1.2,40.5,2.2,0.0,51.0
904,사상,2023-03-02 05:00,2.3,323.1,2.2,0.0,39.0
904,사상,2023-03-02 06:00,2.4,326.8,3.1,0.0,38.0
904,사상,2023-03-02 07:00,1.4,325.2,2.4,0.0,42.0
904,사상,2023-03-02 08:00,2.8,331.9,2.9,0.0,33.0
904,사상,2023-03-02 09:00,4.3,320.0,5.1,0.0,27.0
904,사상,2023-03-02 10:00,5.2,314.9,6.3,0.0,26.0
904,사상,2023-03-02 11:00,5.7,316.7,4.4,0.0,22.0
904,사상,2023-03-02 12:00,6.7,297.4,4.8,0.0,19.0
904,사상,2023-03-02 13:00,7.3,293.7,4.2,0.0,18.0
904,사상,2023-03-02 14:00,8.5,298.2,3.2,0.0,17.0
904,사상,2023-03-02 15:00,9.0,302.2,3.6,0.0,16.0
904,사상,2023-03-02 16:00,9.4,286.7,3.4,0.0,16.0
904,사상,2023-03-02 17:00,9.0,285.1,2.8,0.0,16.0
904,사상,2023-03-02 18:00,8.0,325.0,1.1,0.0,18.0
904,사상,2023-03-02 19:00,6.6,195.7,4.1,0.0,42.0
904,사상,2023-03-02 20:00,5.2,193.8,1.9,0.0,46.0
904,사상,2023-03-02 21:00,4.3,199.0,1.5,0.0,48.0
904,사상,2023-03-02 22:00,2.4,0.0,0.0,0.0,55.0
904,사상,2023-03-02 23:00,1.4,31.9,2.5,0.0,60.0
904,사상,2023-03-03 00:00,0.9,10.5,2.2,0.0,55.0
904,사상,2023-03-03 01:00,-0.7,14.2,1.4,0.0,57.0
904,사상,2023-03-03 02:00,0.6,321.5,2.9,0.0,47.0
904,사상,2023-03-03 03:00,0.7,25.9,1.9,0.0,45.0
904,사상,2023-03-03 04:00,-0.5,321.7,2.0,0.0,48.0
904,사상,2023-03-03 05:00,-0.2,215.7,1.2,0.0,45.0
